forward_genome_id	backward_genome_id
WP_179075037	WP_011378340
WP_096659806	WP_011378340
WP_096416426	WP_011378340
WP_017291390	WP_011378340
WP_011432381	WP_011378340
WP_096419029	WP_011378340
WP_053538903	WP_011378340
WP_181494936	WP_011378340
WP_067769274	WP_011378340
WP_082127324	WP_011378340
WP_104908698	WP_011378340
WP_096680908	WP_011378340
WP_168570936	WP_011378340
WP_179046587	WP_011378340
WP_100899981	WP_011378340
WP_073627276	WP_011378340
WP_167723127	WP_011378340
WP_126986800	WP_011378340
WP_068383774	WP_011378340
WP_199248227	WP_011378340
WP_138073604	WP_011378340
WP_011057632	WP_011378340
WP_169265280	WP_011378340
WP_015116896	WP_011378340
WP_011378340	WP_011378340
WP_015121371	WP_011378340
WP_068511618	WP_011378340
WP_015167128	WP_011378340
WP_152589795	WP_011378340
WP_096729790	WP_011378340
WP_096597937	WP_011378340
WP_009545728	WP_011378340
WP_094328608	WP_011378340
WP_172358645	WP_011378340
WP_017287407	WP_011378340
WP_206200285	WP_011378340
WP_096418642	WP_011378340
WP_015176154	WP_011378340
WP_041426543	WP_011378340
WP_181494804	WP_011378340
WP_096568183	WP_011378340
WP_179066279	WP_011378340
WP_015158346	WP_011378340
WP_096684757	WP_011378340
WP_096646937	WP_011378340
WP_015198610	WP_011378340
WP_024124835	WP_011378340
WP_011318383	WP_011378340
WP_010309482	WP_011378340
WP_152591325	WP_011378340
WP_012598730	WP_011378340
WP_071103847	WP_011378340
WP_096688213	WP_011378340
WP_096690573	WP_011378340
WP_096689034	WP_011378340
WP_174710501	WP_011378340
WP_179048611	WP_011378340
WP_010872746	WP_011378340
WP_012164803	WP_011378340
WP_044521920	WP_011378340
WP_149819621	WP_011378340
WP_012163243	WP_011378340
WP_012165112	WP_011378340
WP_062298341	WP_011378340
WP_035154342	WP_011378340
WP_015202873	WP_011378340
WP_015135547	WP_011378340
WP_126986797	WP_011378340
WP_114085844	WP_011378340
WP_126147572	WP_011378340
WP_172799635	WP_011378340
WP_070392392	WP_011378340
WP_181494935	WP_011378340
WP_017325064	WP_011378340
WP_099799167	WP_011378340
WP_062435213	WP_011378340
WP_172359007	WP_011378340
WP_118167455	WP_011378340
WP_096575865	WP_011378340
WP_015203816	WP_011378340
WP_149819619	WP_011378340
WP_015200441	WP_011378340
WP_011244251	WP_011378340
WP_096588063	WP_011378340
WP_096620140	WP_011378340
WP_071104264	WP_011378340
WP_100903921	WP_011378340
WP_206200286	WP_011378340
WP_068388606	WP_011378340
WP_096541699	WP_011378340
WP_015129306	WP_011378340
WP_017327183	WP_011378340
WP_012408188	WP_011378340
WP_017286867	WP_011378340
WP_096658192	WP_011378340
WP_012307721	WP_011378340
WP_148203228	WP_011378340
WP_096641816	WP_011378340
WP_205370892	WP_011378340
WP_208676310	WP_011378340
WP_015189947	WP_011378340
WP_015189877	WP_011378340
WP_070392766	WP_011378340
WP_099799168	WP_011378341
WP_126147571	WP_011378341
WP_126986795	WP_011378341
WP_038027918	WP_011378341
WP_096680080	WP_011378341
WP_096648640	WP_011378341
WP_149819617	WP_011378341
WP_011378341	WP_011378341
WP_041429099	WP_011378341
WP_181494934	WP_011378341
WP_206200284	WP_011378341
WP_011244250	WP_011378341
WP_096694918	WP_011378341
WP_017327182	WP_011378341
WP_208676894	WP_011378341
WP_012164802	WP_011378341
WP_179046586	WP_011378341
WP_164920931	WP_011378341
WP_162147173	WP_011243364
WP_015126773	WP_011243364
WP_011055919	WP_011243364
WP_103111428	WP_011243364
WP_190278184	WP_011243364
WP_015080973	WP_011243364
WP_011057767	WP_011243364
WP_186589952	WP_011243364
WP_126985235	WP_011243364
WP_172598085	WP_011243364
WP_071455870	WP_011243364
WP_038001555	WP_011243364
WP_186587650	WP_011243364
WP_186584189	WP_011243364
WP_186512696	WP_011243364
WP_197673250	WP_011243364
WP_084989905	WP_011243364
WP_168569306	WP_011243364
WP_186483903	WP_011243364
WP_071106503	WP_011243364
WP_015165179	WP_011243364
WP_011618537	WP_011243364
WP_096384601	WP_011243364
WP_096600629	WP_011243364
WP_181496115	WP_011243364
WP_156818386	WP_011243364
WP_186518280	WP_011243364
WP_015124764	WP_011243364
WP_012596409	WP_011243364
WP_186699606	WP_011243364
WP_038546081	WP_011243364
WP_015127251	WP_011243364
WP_015193705	WP_011243364
WP_106908592	WP_011243364
WP_197171217	WP_011243364
WP_186545146	WP_011243364
WP_015226446	WP_011243364
WP_157374178	WP_011243364
WP_158200378	WP_011243364
WP_148228759	WP_011243364
WP_186575010	WP_011243364
WP_199248948	WP_011243364
WP_096694310	WP_011243364
WP_012628783	WP_011243364
WP_015154066	WP_011243364
WP_186491939	WP_011243364
WP_015124589	WP_011243364
WP_071802261	WP_011243364
WP_096566094	WP_011243364
WP_087067078	WP_011243364
WP_015130349	WP_011243364
WP_070393283	WP_011243364
WP_096655580	WP_011243364
WP_144050263	WP_011243364
WP_017293992	WP_011243364
WP_096684483	WP_011243364
WP_130128493	WP_011243364
WP_197148110	WP_011243364
WP_066121683	WP_011243364
WP_073629744	WP_011243364
WP_096557204	WP_011243364
WP_187152898	WP_011243364
WP_186592924	WP_011243364
WP_186494826	WP_011243364
WP_041781034	WP_011243364
WP_045871344	WP_011243364
WP_088431577	WP_011243364
WP_011243364	WP_011243364
WP_096582908	WP_011243364
WP_015142053	WP_011243364
WP_084762195	WP_011243364
WP_038553598	WP_011243364
WP_167727288	WP_011243364
WP_062289035	WP_011243364
WP_104901898	WP_011243364
WP_144056310	WP_011243364
WP_066116683	WP_011243364
WP_096598095	WP_011243364
WP_197161391	WP_011243364
WP_014275446	WP_011243364
WP_015957213	WP_011243364
WP_017292919	WP_011243364
WP_186501480	WP_011243364
WP_186990540	WP_011243364
WP_156820068	WP_011243364
WP_015220350	WP_011243364
WP_011140982	WP_011243364
WP_012627062	WP_011243364
WP_197530067	WP_011243364
WP_017285519	WP_011243364
WP_015784436	WP_011243364
WP_049691797	WP_011243364
WP_179050822	WP_011243364
WP_023171856	WP_011243364
WP_068512837	WP_011243364
WP_008056925	WP_011243364
WP_096693211	WP_011243364
WP_015174252	WP_011243364
WP_157768340	WP_011243364
WP_186570449	WP_011243364
WP_071103152	WP_011243364
WP_096717019	WP_011243364
WP_096595306	WP_011243364
WP_053539429	WP_011243364
WP_006621673	WP_011243364
WP_179068283	WP_011243364
WP_186596556	WP_011243364
WP_096583734	WP_011243364
WP_171977578	WP_011243364
WP_070391655	WP_011243364
WP_096731971	WP_011243364
WP_096659394	WP_011243364
WP_186549768	WP_011243364
WP_181928610	WP_011243364
WP_196797512	WP_011243364
WP_009547099	WP_011243364
WP_066349206	WP_011243364
WP_208674884	WP_011243364
WP_186472684	WP_011243364
WP_028946337	WP_011243364
WP_186482808	WP_011243364
WP_048345869	WP_011243364
WP_172354102	WP_011243364
WP_015230639	WP_011243364
WP_011057768	WP_011243364
WP_206199500	WP_011243364
WP_013322725	WP_011243364
WP_015116229	WP_011243364
WP_096673924	WP_011243364
WP_186480724	WP_011243364
WP_041434461	WP_011243364
WP_046661748	WP_011243364
WP_186470818	WP_011243364
WP_197211614	WP_011243364
WP_015218307	WP_011243364
WP_073630370	WP_011243364
WP_015185694	WP_011243364
WP_043692258	WP_011243364
WP_186509041	WP_011243364
WP_208678198	WP_011243364
WP_186498914	WP_011243364
WP_006617197	WP_011243364
WP_148767085	WP_011243364
WP_206268681	WP_011243364
WP_010311263	WP_011243364
WP_186524684	WP_011243364
WP_103137533	WP_011243364
WP_185190009	WP_011243364
WP_150883723	WP_011242471
WP_157776163	WP_011242471
WP_206200063	WP_011242471
WP_015110218	WP_011242471
WP_049749788	WP_011242471
WP_126984833	WP_011242471
WP_011242471	WP_011242471
WP_096562833	WP_011242471
WP_208672581	WP_011242471
WP_041660547	WP_011242471
WP_012412699	WP_011242471
WP_148650065	WP_011242471
WP_088429634	WP_011242471
WP_208677258	WP_011242471
WP_024125533	WP_011242471
WP_011055862	WP_011242471
WP_181494788	WP_011242471
WP_012953799	WP_011242471
WP_126389941	WP_011242471
WP_144050274	WP_011242471
WP_096681400	WP_011242471
WP_149819122	WP_011242471
WP_015183234	WP_011242471
WP_197211670	WP_011242471
WP_185190271	WP_011242471
WP_099799413	WP_011242471
WP_148202803	WP_011242471
WP_096692806	WP_011242471
WP_179074665	WP_011242471
WP_126148041	WP_011242471
WP_012361452	WP_011242471
WP_023175205	WP_011242471
WP_096568136	WP_039755718
WP_096681401	WP_039755718
WP_024125831	WP_039755718
WP_150883721	WP_039755718
WP_015227637	WP_039755718
WP_062434565	WP_039755718
WP_169264173	WP_039755718
WP_190278141	WP_039755718
WP_096562832	WP_039755718
WP_208677259	WP_039755718
WP_008050152	WP_039755718
WP_164920777	WP_039755718
WP_118165532	WP_039755718
WP_181496472	WP_039755718
WP_012412698	WP_039755718
WP_012408600	WP_039755718
WP_041676896	WP_039755718
WP_012307335	WP_039755718
WP_096642850	WP_039755718
WP_017288642	WP_039755718
WP_067767592	WP_039755718
WP_039755718	WP_039755718
WP_010309480	WP_039755718
WP_015183233	WP_039755718
WP_015163220	WP_039755718
WP_206201275	WP_039755718
WP_172598024	WP_039755718
WP_100903245	WP_039755718
WP_096597798	WP_039755718
WP_015188998	WP_039755718
WP_080813672	WP_039755718
WP_006626175	WP_039755718
WP_208672580	WP_039755718
WP_168569457	WP_039755718
WP_164928915	WP_039755718
WP_179072555	WP_039755718
WP_096688154	WP_039755718
WP_015110219	WP_039755718
WP_126148289	WP_039755718
WP_015224537	WP_039755718
WP_198406020	WP_039755718
WP_013324907	WP_011378019
WP_015154187	WP_011378019
WP_067768453	WP_011378019
WP_172358493	WP_011378019
WP_149821616	WP_011378019
WP_011318200	WP_011378019
WP_104907982	WP_011378019
WP_198807667	WP_011378019
WP_126148040	WP_011378019
WP_150883719	WP_011378019
WP_096626530	WP_011378019
WP_071103320	WP_011378019
WP_015188873	WP_011378019
WP_169263687	WP_011378019
WP_041429627	WP_011378019
WP_208672579	WP_011378019
WP_206201641	WP_011378019
WP_068510287	WP_011378019
WP_015136718	WP_011378019
WP_181496880	WP_011378019
